alcohol,sulfato,acido citrico,calidad
9.4,0.56,0,5
9.8,0.68,0,5
9.8,0.65,0.04,5
9.8,0.58,0.56,6
9.4,0.56,0,5
9.4,0.56,0,5
9.4,0.46,0.06,5
10,0.47,0,7
9.5,0.57,0.02,7
9.2,0.54,0.08,5
9.9,0.52,0,5
9.1,1.56,0.29,5
10.5,0.75,0.56,7
9.2,1.08,0.51,6
9.7,0.65,0.31,5
9.5,0.91,0.21,5
9.4,0.53,0.11,5
9.7,0.63,0.14,6
9.3,0.56,0.16,5
9.5,0.59,0.24,5
9.4,0.55,0,5
9.8,0.59,0,6
10.1,0.54,0.07,5
9.8,0.66,0.12,5
9.2,0.55,0.25,5
9.6,0.55,0,6
10.8,0.6,0.14,6
9.7,0.73,0.28,7
10.5,0.83,0.36,5
9.3,0.51,0.3,4
10.5,0.9,0.2,6
10.3,1.2,0.22,5
13.1,0.56,0.15,4
9.2,0.73,0.43,5
9.2,0.74,0.26,5
9.4,0.63,0.04,6
9.4,0.64,0.04,6
9.4,0.56,0.36,5
10.2,0.63,0.15,6
9.6,0.63,0.57,5
10,0.59,0.18,5
9.4,0.54,0.31,6
9.2,0.64,0.4,5
9.3,0.71,0.49,5
9.8,0.57,0.05,5
10.9,0.39,0.05,5
10.9,0.39,0.05,5
10.7,0.58,0.07,5
10.5,0.95,0.05,6
9.5,0.48,0.22,5
9.2,0.53,0.26,4
10.5,0.66,0.64,5
10.7,0.55,0,6
10.1,0.52,0.12,5
9.1,1.12,0.2,4
9.2,0.56,0.2,5
9.1,0.57,0.47,5
10.3,0.78,0.48,6
10.1,0.59,0.15,5
9.9,1.95,0.28,6
9.6,0.64,0.26,5
9.5,1.22,0.44,5
9,0.53,0.08,5
9.5,0.54,0.26,5
9.9,1.95,0.28,6
9.6,0.64,0.26,5
10.5,0.48,0.04,4
10.7,0.56,0,5
9.8,0.56,0.06,5
9,0.59,0.18,6
10.2,0.61,0.3,6
9,0.59,0.18,6
9.2,0.51,0.22,5
9.4,0.48,0.24,5
9.2,0.51,0.22,5
9.3,1.31,0.68,5
9.3,0.79,0.31,5
9.5,0.93,0.19,5
9.8,0.66,0.09,5
9.7,0.67,0.44,6
9.5,0.93,0.19,5
10.5,0.63,0.31,6
10,0.61,0.28,6
9,0.57,0.09,5
10.9,0.6,0.04,6
9.2,0.52,0,5
9.5,0.48,0.17,5
10.9,0.49,0,5
10.9,0.48,0,5
10.5,0.92,0.16,7
9.4,0.66,0.56,5
13,0.63,0.09,5
9.9,0.55,0.05,6
9.6,0.82,0.11,5
9.2,0.64,0.36,5
9.6,0.82,0.11,5
14,0.79,0,6
9.4,0.58,0.08,5
14,0.79,0,6
9.4,0.62,0.55,5
10,0.52,0.02,5
10.2,0.58,0.1,6
10.3,0.53,0.47,6
9.4,2,1,4
10.1,0.54,0.03,5
10.1,0.54,0.03,5
10.5,0.71,0.42,5
10.5,0.72,0.42,5
10.5,0.71,0.42,5
9.3,0.5,0,5
9.3,0.57,0.18,6
9.6,0.56,0.03,5
9.2,1.08,0.02,4
10,0.56,0.04,6
9.4,0.49,0.26,5
9.4,0.49,0.26,5
9.5,0.62,0.48,5
10.2,0.52,0.1,5
9,0.48,0.03,4
10.4,0.55,0.07,6
9.1,0.33,0.03,4
9.2,0.61,0.17,6
11.5,0.57,0.05,6
9.5,0.78,0.04,5
9.5,0.47,0.21,5
10.5,0.61,0.42,6
9.6,0.56,0,5
9.5,0.59,0.14,5
9.5,0.59,0.14,5
9.3,1.02,0.49,5
9.3,0.52,0.02,5
9.3,0.58,0.2,5
9.3,0.58,0.21,6
9.7,0.53,0.57,5
9.2,0.55,0.48,5
9.5,0.55,0.33,5
9.4,0.62,0.35,5
9.8,0.62,0.25,6
9.7,0.55,0.21,5
9.7,0.55,0.21,5
10.2,0.59,0.3,5
10.1,0.97,0.6,6
11.4,0.43,0.06,4
10.3,0.82,0.47,7
9.2,0.56,0.36,6
10.8,0.77,0.74,7
10.8,0.77,0.74,7
9.4,0.67,0.28,5
12.4,0.86,0.6,6
10,0.56,0.24,6
10.1,0.43,0.26,5
9.8,0.71,0.08,6
10.5,0.76,0.49,5
11,0.57,0.16,5
9.1,0.55,0.22,5
9.7,0.54,0.19,5
9.4,0.59,0.37,6
9.4,0.57,0.26,5
9.5,0.6,0.04,5
10,0.6,0.25,6
10.5,0.58,0.25,6
9.5,1.61,0.5,6
12.2,0.62,0.04,7
9.9,0.52,0.06,6
9.6,0.7,0.2,6
9,0.55,0.09,6
9,0.58,0,6
9.3,1.09,0.37,5
10.9,0.71,0.56,6
9.8,0.49,0.1,6
9.2,0.84,0.44,7
9.2,0.84,0.44,7
9.9,0.96,0,6
9.5,0.52,0.07,5
9.9,0.96,0,6
10,0.78,0.44,6
9.9,0.7,0,6
10.5,0.53,0.48,5
9.5,0.59,0.42,5
9.3,0.57,0.23,5
9.2,0.62,0.37,5
9.2,0.67,0,5
9.4,1.26,0.76,5
10.5,0.8,0.47,7
9.3,0.65,0.23,5
9.4,0.6,0.04,4
10,0.57,0.03,5
9.3,0.67,0.23,5
10.9,0.87,0.49,5
9.8,0.72,0,4
12.8,0.86,0.46,8
9.4,0.91,0.04,6
10.1,0.97,0.51,6
10.7,0.67,0.06,6
10.7,0.67,0.06,6
9.4,0.91,0.04,6
10.1,0.97,0.51,6
12.6,0.82,0.45,8
10.5,0.77,0.32,7
9.3,0.82,0.44,6
9.9,1.08,0.68,7
10.5,0.77,0.32,7
9.8,0.71,0.07,5
9.8,0.71,0.07,5
10.3,0.76,0.55,6
10.3,0.7,0.12,6
10.6,0.86,0.09,7
9.2,0.95,0.53,5
10.6,0.86,0.09,7
10.3,0.64,0.23,6
10.1,0.6,0.25,6
9.5,0.81,0.52,6
9.5,0.64,0.46,5
9.9,0.52,0.37,5
9.6,0.73,0.06,5
9.7,0.8,0.02,5
10.7,0.59,0.06,6
10.1,0.64,0.48,6
10,0.72,0.12,5
9.2,0.52,0.6,5
9.4,0.52,0.32,5
9.5,0.62,0.42,6
9.5,0.63,0.44,6
9.4,0.54,0.24,6
9.5,0.63,0.31,6
9.4,0.53,0.3,5
11,0.68,0.29,5
11.5,0.71,0.39,7
10.4,0.64,0.12,6
9.7,0.62,0.26,5
9.2,0.69,0.2,6
9.2,0.69,0.2,6
11.5,0.74,0.66,7
11.5,0.83,0.5,5
9.7,0.67,0.62,6
11,0.52,0.08,5
11.7,0.74,0.01,7
12.2,0.84,0.53,7
12.5,0.7,0.45,6
10.3,0.64,0.32,5
9.8,1.36,0.54,7
9.8,0.75,0.47,6
9.8,0.75,0.47,6
10.7,0.78,0.5,6
12,0.93,0.67,6
10,0.92,0.31,6
9.4,0.83,0,6
9.3,0.73,0,5
13,0.77,0.79,5
11.9,0.59,0.4,6
12.8,0.61,0.01,6
11,0.88,0.52,5
11.7,0.75,0.66,7
10.4,0.85,0.66,7
9.8,0.68,0.66,6
9.4,0.7,0.23,5
9.9,0.91,0.31,6
10,0.56,0.66,5
10.2,0.87,0.63,5
10,0.73,0.66,7
10,0.73,0.66,7
9,0.69,0.61,5
12,1.13,0.53,7
8.7,0.87,0.4,6
10.6,1.04,0.48,6
11,1.11,0.5,6
12,1.13,0.53,7
13.3,0.99,0.66,6
9.4,0.8,0.42,6
9.2,0.74,0.28,5
9.2,0.74,0.26,6
12.9,0.82,0.05,8
10,0.8,0.68,6
9.5,0.51,0.52,5
13,0.6,0.76,7
9.9,0.53,0.02,5
11,0.65,0.59,6
9.4,0.55,0.22,5
9.9,0.53,0.02,5
10.5,0.61,0.54,6
10.5,0.63,0.49,6
9.1,0.61,0.05,5
10.8,0.65,0.47,6
10.8,0.63,0.66,7
9.6,0.57,0.49,4
9.5,0.62,0.34,6
9.3,0.64,0.16,5
11.7,0.82,0.53,7
9.5,0.61,0.34,5
9.3,1.07,0.24,5
11.7,0.66,0.64,6
10.5,0.48,0.12,5
10.4,0.76,0.51,6
9.9,0.68,0,5
12.3,0.56,0.03,7
10.9,0.44,0.2,5
11,0.9,0.47,7
12.3,0.56,0.03,7
11.4,0.49,0.08,6
10.6,0.56,0.22,6
9.3,0.6,0.33,5
10.4,0.6,0.63,6
11,0.9,0.47,7
9.2,0.56,0.35,5
9.5,0.49,0.63,5
9.9,0.89,0.55,6
9.5,0.49,0.63,5
10.2,0.56,0.3,6
11.2,0.66,0.73,6
9.3,0.6,0.18,5
9.8,0.82,0.72,8
11.2,0.68,0.76,7
12.5,0.84,0.01,7
10.5,0.73,0.6,5
11.2,0.72,0.29,5
10.2,0.56,0.22,6
10.8,0.61,0.69,6
10.8,0.61,0.69,6
10,0.63,0.03,6
11.2,0.74,0.63,7
11.1,0.63,0.4,5
13.4,0.69,0.67,8
10.3,0.58,0.39,5
9.6,0.58,0.21,5
9,0.57,0.66,3
11.3,0.61,0.52,6
9.3,0.61,0.22,5
9.2,0.7,0.54,6
11.5,0.72,0.42,6
14,0.79,0.45,6
9.2,0.62,0.69,6
9.8,0.58,0.02,5
10.6,0.61,0.65,5
11.4,0.71,0.42,6
10.4,0.82,0.55,6
10.2,0.6,0.24,5
9.7,0.7,0.41,5
11,1.06,0.49,6
10.1,0.7,0.11,6
9.2,0.66,0.39,5
11.7,0.92,0.56,8
9.4,1.06,0.6,5
10,0.47,0.39,5
10,0.42,0.36,6
10.2,0.75,0.4,6
13.3,0.79,0.5,7
13.4,0.9,0.51,7
11.6,0.74,0.31,6
12.1,0.55,0.23,6
11,0.65,0.53,8
9,0.65,0.25,6
11.1,0.79,0.32,5
11,0.65,0.53,8
11.6,0.74,0.31,6
9,0.65,0.25,6
12,0.85,0.73,7
12,0.85,0.73,7
10.8,1.05,0.42,7
12.5,0.78,0.63,7
10.8,1.02,0.46,7
9.5,0.71,0.55,6
11.4,0.68,0.75,7
10.2,0.63,0.31,6
9.7,0.81,0.48,6
11.8,0.66,0.64,7
11.8,0.66,0.64,7
9.3,1.14,0.49,5
11.9,0.74,0.49,6
8.4,0.63,0.49,3
10,0.9,0.49,6
9.4,0.55,0.49,5
9.5,0.64,0.49,5
11.4,0.77,0.49,6
9.4,0.57,0.24,5
10.3,0.87,0.24,6
10.3,0.61,0.49,5
10.3,0.61,0.49,5
12.8,0.66,0.24,6
10,0.56,0.24,6
10.3,0.87,0.24,6
9.4,0.57,0.24,5
10.7,0.77,0.24,6
12,0.66,0.49,7
11.2,0.62,0.74,5
9.6,0.67,0.24,5
11,0.73,0.49,6
9.9,0.59,0.24,5
11,0.72,0.24,6
8.4,0.79,0.74,6
9.1,0.59,0.49,5
9.5,0.78,0.24,6
10.7,0.86,0.49,6
10.4,0.75,0.49,6
9.5,0.56,0.01,6
10,0.73,0.24,6
10,0.74,0.24,6
11.5,0.62,0.24,5
11.1,0.74,0.49,5
11.7,0.56,0.49,6
11.1,0.74,0.49,5
12.7,0.68,0.49,6
11.4,0.57,0.49,5
9.2,0.61,0.49,5
10.1,0.61,0.49,6
12.7,0.68,0.49,6
11.4,0.57,0.49,5
9,0.6,0.24,6
10.7,0.79,0.49,6
11.7,0.57,0.24,6
11,0.91,0.49,6
10.4,0.61,0.49,5
10,0.52,0.24,4
9.5,0.6,0.49,5
9.8,0.6,0.49,5
9.8,0.51,0.49,6
9.6,0.44,0.49,5
9.6,0.44,0.49,5
9.9,0.66,0.49,7
9.3,0.59,0.24,5
14,0.74,0.24,8
9.7,0.57,0.49,5
11.5,0.5,0.49,6
9.7,0.57,0.49,5
9,0.58,0.58,5
9.3,0.57,0.41,5
9.3,0.6,0.51,6
9.8,0.48,0.18,6
9.3,0.52,0,5
9.1,0.62,0.13,6
10.5,0.53,0.41,6
10.4,0.64,0.37,6
12.7,0.52,0.19,6
9.2,0.54,0.54,5
9.4,0.54,0.55,5
10,0.6,0,6
9.7,0.57,0.5,5
9.8,0.93,0.51,6
9.3,0.8,0.41,5
9.4,0.61,0.24,5
9.4,0.62,0.23,5
9.5,0.55,0.22,5
10.2,0.72,0,5
9.1,0.49,0.29,5
9.1,0.49,0.29,5
9.3,0.6,0.26,6
9.3,0.61,0.23,5
9.3,0.6,0.26,6
9.5,0.63,0.54,5
10.5,0.57,0.14,6
11.3,0.64,0.22,4
9.5,0.58,0.21,5
9.7,0.55,0,5
9.4,0.53,0.28,5
9.4,0.53,0.27,5
10.3,1.36,0.35,6
9.4,0.62,0.45,5
9.4,0.62,0.45,5
9.4,0.62,0.45,5
11,0.58,0.01,4
11.2,0.67,0.3,7
11.3,0.57,0.27,6
9.6,0.5,0.39,5
14.9,0.84,0.65,5
12,0.54,0.59,6
9.5,0.46,0.47,5
9.4,0.61,0.17,5
9.6,0.5,0.39,5
10.5,0.68,0.59,7
9.6,0.81,0.07,6
9.6,0.81,0.07,6
9,0.64,0.31,5
9.6,0.7,0.06,6
9.7,0.56,0.14,5
9.5,0.6,0.36,6
9.2,0.66,0.45,6
9.2,0.66,0.45,6
9.5,0.52,0.21,5
9.5,0.52,0.21,5
9.3,0.67,0.41,6
9.9,0.48,0.11,5
10,0.53,0.1,5
9.6,0.54,0.45,5
10.2,0.49,0.23,6
9.8,0.54,0.31,5
11.3,0.56,0.23,5
9.4,0.48,0.32,5
11.3,0.56,0.23,5
9.4,0.47,0.04,5
9.4,1.05,0.48,5
9.8,0.54,0.24,5
9,1.17,0.51,5
9.4,0.62,0.32,5
9.4,0.61,0.31,5
12.8,0.62,0.02,6
9.5,0.67,0.02,6
9.7,0.53,0.28,5
10.8,0.62,0.55,6
10.1,0.57,0.43,6
9.5,0.67,0.02,6
9.4,0.67,0.02,6
9.6,0.7,0.48,4
9.7,0.54,0.04,4
9.9,0.49,0.15,5
10,0.47,0.08,5
10.5,0.51,0.19,5
11.6,0.61,0.12,6
10.1,0.57,0.43,5
9.5,0.61,0.34,5
9.8,0.51,0.28,5
10,0.57,0.11,5
9.6,0.44,0.04,5
9.5,0.54,0,5
9.6,0.44,0.04,5
9.2,0.53,0.24,5
9.5,1.62,0.3,5
10.4,0.55,0.17,5
11.1,0.72,0.09,6
9.5,0.68,0.02,5
9.5,0.68,0.02,5
12.7,0.49,0.03,6
9.6,0.67,0.66,5
11.5,0.52,0.13,5
9.6,0.47,0.03,5
9.5,0.6,0.34,5
9.3,0.62,0.2,5
9.5,0.5,0.1,5
9.3,0.65,0,6
9.3,0.6,0,5
11.5,0.68,0.29,6
9.5,0.57,0.24,5
9.5,0.51,0.54,5
9.5,0.73,0.18,6
9,0.47,0.38,6
9.6,0.72,0.18,6
9.5,0.73,0.18,6
9.5,0.55,0.1,5
9.4,0.61,0.13,5
9.5,0.55,0.1,5
9.1,1.06,0.68,6
10.7,0.43,0.07,6
11.2,0.46,0.01,6
9.8,0.5,0,5
9.8,0.5,0,5
9.2,0.52,0.21,5
9.7,0.57,0.25,5
9.6,0.42,0.26,5
10,0.53,0,6
9.5,0.55,0.11,6
9.5,0.54,0.1,6
9.4,0.54,0.18,5
9.7,0.53,0.02,6
9.6,0.54,0.01,5
9.7,0.53,0.02,6
9.4,0.55,0.26,5
9.4,0.55,0.27,5
9.5,0.92,0.29,6
10,0.46,0,5
10.3,0.59,0.17,6
10.5,0.61,0.3,5
9.8,0.6,0.03,5
9.4,0.6,0,6
9.8,0.65,0.14,5
9.8,0.59,0.01,5
9.5,0.5,0.41,5
10.1,0.56,0.24,6
10.1,0.56,0.24,6
9.3,0.52,0.17,5
9.7,0.68,0.43,6
9.6,0.54,0.17,5
9.7,0.6,0.02,6
10.8,0.56,0,5
12.5,0.53,0.54,6
10.2,1.18,0.3,5
9.6,0.74,0.31,5
